data_sinal,sistema,ticker,acao,entrada_regra,qtd_estim,stop_regra,ext_d0_pct,fech_d0,adv_musd,obs
2026-07-31,D2F30,SNDQ,SHORT,abertura D+1,2,fill x 1.50; cobrir no MOC,36,32.21,883.9,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
2026-07-31,D2F30,IREZ,SHORT,abertura D+1,4,fill x 1.50; cobrir no MOC,34,16.25,51.9,D2F30 banda 30-70 liquida - notional METADE (1%); checar borrow
