data_sinal,asof,sistema,ticker,name,exchange,yahoo_symbol,situacao,status,acao,entrada,entrada_regra,stop,stop_regra,extensao_pct,gap_pct,open_price,prev_close,day_high,day_low,day_close,volume,fech_d0,market_cap,market_cap_musd,market_cap_filter,borrow_status,borrow_filter,borrow_source,borrow_checked_at,broker_tradable,broker_marginable,broker_shortable,broker_easy_to_borrow,gapcrap_version,gapcrap_min_gap_pct,gapcrap_min_price,gapcrap_price_filter,gapcrap_earnings_filter,gapcrap_rule,gapcrap_filters,gapcrap_signal_timing,scan_source,scan_status,scan_checked_at,short_stop_rule_pct,short_stop_rule,short_stop_rule_status,qtd_estim,qtd_estim_regra,risk_budget,notional_budget,short_risk_pct,short_notional_pct,risk_dollars,entry_notional,short_size_obs,saida,preco_saida,exit_price,exit_reason,r,pnl,pnl_usd,resultado_tipo,resultado_contabilizado,stats_excluded,stats_exclusion_reason,obs,day2fade_version,day2fade_signal_timing,day2fade_min_trigger_pct,day2fade_min_price,day2fade_min_adv_musd,day2fade_market_cap_filter,day2fade_market_cap_warning_musd,day2fade_max_earnings_age_days,day2fade_rule,day2fade_trigger_basis,day2fade_high_vs_open_pct,day2fade_close_vs_open_pct,day2fade_open_price,day2fade_high_price,day2fade_close_price,day2fade_volume,day2fade_legacy_intraday_trigger_pct,day2fade_earnings_filter,earnings_status,earnings_filter
2026-07-20,2026-07-20,GapCrap,BIYA,Baiya International Group Inc Class A Ordinary Shares,NASDAQ,BIYA,watchlist_hoje,watchlist_hoje,SHORT,7.78,short open se locate ok,11.67,entrada x 1.50; cobrir MOC,87.92,87.92,7.78,4.1400,9.8900,2.9100,3.5100,75623528,3.51,11174734,11.17,gapcrap_v2_no_market_cap_filter,no_locate_alpaca,no_locate,alpaca_paper_assets,2026-07-21T16:55:13-03:00,true,true,false,false,v2,80,0.10,anti_dust_0_10,earnings_unknown,pass,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,same_day_open,alpaca_raw_bars_corporate_actions,auto_detected,2026-07-21T16:37:46-03:00,50,entry_plus_50_pct,planned_50_pct,20,"min(risco_1pct,notional_2pct)",80.00,160.00,1,2,77.80,155.60,,,,,,,,,,,,,"GapCrap scan: abertura +88% vs fechamento anterior 4.14; checar aluguel/locate antes de executar real; GapCrap v2: 8-K item 2.02 nao verificado; alpaca_paper_assets: proxy negativo; shortable=false; easy_to_borrow=false; GapCrap v2: locate/borrow informado, mas nao usado como filtro quantitativo",,,,,,,,,,,,,,,,,,,checar,earnings_unknown
2026-07-20,2026-07-20,GapCrap,GORO,Goldgroup Mining Inc. Common Shares,NASDAQ,GORO,watchlist_hoje,watchlist_hoje,SHORT,4.00,short open se locate ok,6.00,entrada x 1.50; cobrir MOC,301.00,301.00,4.00,0.9975,4.0000,2.2100,3.2900,6705509,3.29,161478202,161.48,gapcrap_v2_no_market_cap_filter,checar_schwab,locate_required,alpaca_paper_assets,2026-07-21T16:55:12-03:00,true,true,true,true,v2,80,0.10,anti_dust_0_10,earnings_unknown,pass,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,same_day_open,alpaca_raw_bars_corporate_actions,auto_detected,2026-07-21T16:37:46-03:00,50,entry_plus_50_pct,planned_50_pct,40,"min(risco_1pct,notional_2pct)",80.00,160.00,1,2,80.00,160.00,,,,,,,,,,,,,"GapCrap scan: abertura +301% vs fechamento anterior 1.00; checar aluguel/locate antes de executar real; GapCrap v2: 8-K item 2.02 nao verificado; alpaca_paper_assets: proxy positivo; shortable=true; easy_to_borrow=true; confirmar Schwab antes de executar; GapCrap v2: locate/borrow informado, mas nao usado como filtro quantitativo",,,,,,,,,,,,,,,,,,,checar,earnings_unknown
2026-07-20,2026-07-20,GapCrap,ZYBT,Zhengye Biotechnology Holding Limited Class A Ordinary Shares,NASDAQ,ZYBT,watchlist_hoje,watchlist_hoje,SHORT,1.27,short open se locate ok,1.91,entrada x 1.50; cobrir MOC,81.95,81.95,1.27,0.6980,8.0100,1.1900,8.0100,166017774,8.01,33079180,33.08,gapcrap_v2_no_market_cap_filter,no_locate_alpaca,no_locate,alpaca_paper_assets,2026-07-21T16:55:12-03:00,true,true,false,false,v2,80,0.10,anti_dust_0_10,earnings_unknown,pass,gap>=80; open>=0.10; no_liquidity_floor; no_market_cap_floor; exclude_8k_item_2_02_3d,same_day_open,alpaca_raw_bars_corporate_actions,auto_detected,2026-07-21T16:37:46-03:00,50,entry_plus_50_pct,planned_50_pct,125,"min(risco_1pct,notional_2pct)",80.00,160.00,1,2,80.00,158.75,,,,,,,,,,,,,"GapCrap scan: abertura +82% vs fechamento anterior 0.70; checar aluguel/locate antes de executar real; GapCrap v2: 8-K item 2.02 nao verificado; alpaca_paper_assets: proxy negativo; shortable=false; easy_to_borrow=false; GapCrap v2: locate/borrow informado, mas nao usado como filtro quantitativo",,,,,,,,,,,,,,,,,,,checar,earnings_unknown
