asof,generated_at,strategy,strategy_version,capital_base,risk_pct,open_positions,risk_open,notional_open,open_pnl,realized_pnl,total_equity_marked,return_pct,total_trades,closed_trades,trades_today,win_rate,loss_rate,scratch_rate,expectancy_r,expectancy_dollar,profit_factor,payoff_ratio,avg_r,median_r,best_r,worst_r,max_drawdown
2026-06-18,2026-06-18T16:00:00-04:00,glb_ath_63d_eod,,10000.0,0.005,2,96.30569844722646,1613.71,0.0,0,10000.0,0.0,2,0,2,0,0,0,0,0.0,,,0,0,0,0,0
2026-06-22,2026-06-22T16:00:00-04:00,glb_ath_63d_eod,,10000.0,0.005,3,146.2971829984243,1976.77,93.66000000000001,0,10093.66,0.009366000000000001,3,0,1,0,0,0,0,0.0,,,0,0,0,0,0
2026-06-23,2026-06-23T16:00:00-04:00,glb_ath_63d_eod,,10000.0,0.005,6,280.60578091373196,5968.6,93.66000000000001,-50.39999999999999,10043.26,0.004326000000000002,7,1,4,0.0,1.0,0.0,-1.0081717006900202,-50.40858503450101,0.0,,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,0
2026-06-24,2026-06-24T16:00:00-04:00,glb_ath_63d_eod,,10000.0,0.005,6,280.60578091373196,6211.46,336.5200000000001,-50.39999999999999,10286.12,0.028612000000000012,7,1,0,0.0,1.0,0.0,-1.0081717006900202,-50.40858503450101,0.0,,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,0
2026-06-25,2026-06-25T16:00:00-04:00,glb_ath_63d_eod,,10000.0,0.005,6,280.60578091373196,6211.46,336.5200000000001,-50.39999999999999,10286.12,0.028612000000000012,7,1,0,0.0,1.0,0.0,-1.0081717006900202,-50.40858503450101,0.0,,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,0
2026-06-26,2026-06-26T16:00:00-04:00,glb_ath_63d_eod,,10000.0,0.005,6,280.60578091373196,6211.46,336.5200000000001,-50.39999999999999,10286.12,0.028612000000000012,7,1,0,0.0,1.0,0.0,-1.0081717006900202,-50.40858503450101,0.0,,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,0
2026-06-29,2026-06-29T16:00:00-04:00,glb_ath_63d_eod,,10000.0,0.005,6,280.60578091373196,6211.46,336.5200000000001,-50.39999999999999,10286.12,0.028612000000000012,7,1,0,0.0,1.0,0.0,-1.0081717006900202,-50.40858503450101,0.0,,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,0
2026-06-30,2026-06-30T16:00:00-04:00,glb_ath_63d_eod,,10000.0,0.005,6,280.60578091373196,6211.46,336.5200000000001,-50.39999999999999,10286.12,0.028612000000000012,7,1,0,0.0,1.0,0.0,-1.0081717006900202,-50.40858503450101,0.0,,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,0
2026-07-01,2026-07-01T19:04:04-03:00,glb_ath_63d_eod,,10000.0,0.005,13,614.6869163421702,12160.34,334.65000000000043,-50.39999999999999,10284.25,0.028425000000000044,14,1,7,0.0,1.0,0.0,-1.0081717006900202,-50.40858503450101,0.0,,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,-1.0081717006900202,0
2026-07-02,2026-07-02T17:17:07-03:00,glb_ath_63d_eod,,10000.0,0.005,17,790.4496731533739,16353.56,374.68000000000035,-80.39999999999998,10294.28,0.029428000000000037,20,3,6,0.0,1.0,0.0,-0.5403425824395746,-27.017129121978726,0.0,,-0.5403425824395746,-0.3388242984224989,-0.2740317482062045,-1.0081717006900202,0
2026-07-09,2026-07-09T20:54:16-03:00,glb_ath_63d_eod,,10000.0,0.005,13,622.0946578931349,12831.33,179.66000000000025,-128.9700000000001,10050.69,0.005069000000000014,20,7,0,0.14285714285714285,0.8571428571428571,0.0,-0.4504123578809654,-22.52061789404827,0.18931666700947317,1.1359000020568388,-0.4504123578809654,-0.3388242984224989,0.7362849837006474,-1.1490103899867896,0
2026-07-13,2026-07-13T17:56:49-03:00,glb_ath_63d_eod,,10000.0,0.005,14,669.4318434534646,13742.42,297.7100000000003,-160.68000000000012,10137.03,0.01370300000000002,22,8,1,0.125,0.875,0.0,-0.48057640970383286,-24.028820485191645,0.16072946028397217,1.1251062219878052,-0.48057640970383286,-0.515274535443202,0.7362849837006474,-1.1490103899867896,0
2026-07-23,2026-07-23T16:10:01-03:00,glb_ath_63d_eod,glb_afl_signal_v20260723,10000.0,0.005,0,0,0,0,0,10000.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0,0
2026-07-23,2026-07-23T16:36:40-03:00,glb_ath_63d_eod,glb_afl_intramonth_v20260723,10000.0,0.005,0,0,0,0,0,10000.0,0.0,0,0,0,0,0,0,0,0.0,,,0,0,0,0,0
